,Text,Classification
0,"Hello everyone, welcome to our CSGO Discord channel!",0
1,Who's excited to play some competitive matches?,0
2,Let's hope we get some good teammates today.,0
3,Anyone up for some warmup matches?,0
4,"I'm a bit rusty, haven't played in a few days.",0
5,Any tips for improving my aim?,0
6,What is your favorite CSGO map and why?,0
7,Should we do a fun custom map later?,0
8,"I'm enjoying this new Operation, what do you guys think?",0
9,Are there any new skins or cases that caught your eye?,0
10,Has anyone tried out the new Danger Zone mode yet?,0
11,What do you think of the recent changes to the economy?,0
12,Have you ever attended a CSGO live event?,0
13,How do you usually warm up before playing a match?,0
14,"My mouse sensitivity isn't working for me, any advice?",0
15,Anyone else getting a lot of trolls in their matches lately?,0
16,What's the funniest moment you've had in a CSGO match?,0
17,"Let's get this match started, good luck have fun!",0
18,"My game just crashed, anyone else having this issue?",0
19,"I just got a knife kill, how lucky am I?",0
20,What was your first experience with CSGO like?,0
21,How long have you been playing CSGO?,0
22,Has anyone tried the new Operation missions yet?,0
23,"I'm down for some wingman matches later, who's with me?",0
24,What rank are you currently at?,0
25,What's the highest rank you've ever achieved?,0
26,What's your favorite weapon and why?,0
27,What's your least favorite weapon and why?,0
28,"I'm a bit tired tonight, but can't resist playing some CSGO.",0
29,When should we start doing calls during our matches?,0
30,Who's the best player you've ever played with?,0
31,Why do you enjoy playing CSGO?,0
32,Anyone else have a favorite CSGO team they root for?,0
33,Anyone have any good tips for playing Mirage?,0
34,"I always struggle with Dust II, anyone else feel the same?",0
35,How do you usually deal with opposing awpers?,0
36,What do you think of the new 7.29 patch notes?,0
37,Has anyone tried the new retakes game mode yet?,0
38,"I'm enjoying playing as reworked R8, how about you guys?",0
39,Anyone want to queue for MM together?,0
40,Should we play a few rounds of deathmatch before? ,0
41,What was your favorite previous operation?,0
42,How do you usually deal with smurfs in your matches?,0
43,Do you think CSGO is still relevant in 2021?,0
44,Any tips for practicing your spray pattern?,0
45,Who's in the mood for some surf maps later?,0
46,"I just got a 1v4 clutch, can't believe I pulled it off!",0
47,Anyone want to trade skins later?,0
48,What are your favorite gloves in the game?,0
49,Has anyone completed all the Operation missions yet?,0
50,Anyone got any good strat ideas for T side?,0
51,"I'm on a losing streak today, can't seem to catch a break.",0
52,What's the most expensive skin you've ever unboxed?,0
53,What's your favorite weapon spray pattern to practice?,0
54,"I'm enjoying the new Ancient map, what do you guys think of it?",0
